CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
35001000117,New Mexico,Bernalillo,1,2326,980,0,7,0.0030095,0,0,0,0,0,0,8.8,92500,0,1,0,1,0,0,0,0,0,1253.94377589225,0,0,220.691545248031,0,1253.94377589225,0.539098785852217,220.691545248031,0.094880286005173,226.698469683527,0.097462798660158,243.237493939697,0.104573299200214,1027.67455083131,0.441820529162217,28.6411886103451,0.012313494673407,67.7522694766521,0.029128232793058,0.144205942749977,0.000061997395851,29.2034233286976,0.012555212093163,100.528130955994,0.043219316834047,365.484519660472,0.157130060043196,2.15900725265964,0.002203068625163,26.6122548189014,0.027155362060103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,447,468,1939,46,92,7,62,180,649,8,47
35001000118,New Mexico,Bernalillo,1,2828,1212,0,11,0.0038897,0,0,0,0,0,0,13.8,78269,0,1,0,1,0,0,0,0,0,945.438113212585,0,0,365.47024218738,0,945.438113212585,0.334313335648015,365.47024218738,0.129232758906429,189.10481800884,0.066868747527878,206.656072303652,0.073074990206384,756.341948390007,0.267447647945547,27.9397219382226,0.009879675367123,17.3528836779296,0.006136097481588,1.08899281965568,0.000385075254475,53.9729928914457,0.019085216722576,88.7415843755006,0.03137962672401,231.540440887212,0.081874271883739,28.7570575438439,0.023726945168188,43.5163610987365,0.035904588365294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,636,459,2083,111,45,2,236,351,789,73,115
35001000119,New Mexico,Bernalillo,1,1836,763,0,14,0.0076253,0,0,0,0,0,0,6.2,102404,0,1,0,1,0,0,0,0,0,1802.39138922002,0,0,261.265061347978,0,1802.39138922002,0.98169465643792,261.265061347978,0.142301231671012,372.642714452813,0.202964441423101,437.117995596607,0.238081696948043,1527.65405807923,0.832055587189126,52.8803205299773,0.028801917499988,38.8032095992239,0.021134645751211,2,0.001089324618736,48.552128557174,0.026444514464692,132.501671763136,0.072168666537656,474.530321523314,0.258458780786119,28.5832070578617,0.037461608201654,18.2168394454856,0.023875281055682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,380,445,1557,54,39,2,49,135,484,29,19
35001000120,New Mexico,Bernalillo,1,2666,1148,0,0,0,0,0,0,0,0,0,15.3,52500,0,1,0,1,0,0,0,0,0,1591.16586756706,0,0,651.025127552449,0,1591.16586756706,0.596836409440008,651.025127552449,0.244195471700094,370.870236843824,0.139111116595583,219.48658941756,0.082328053044846,1256.44959670305,0.471286420368737,55.6852698531001,0.020887197994411,29.8325874358415,0.011190017792889,1.24017089605331,0.000465180381115,80.2198357935994,0.030089960912828,167.738438054919,0.062917643681515,512.352621994912,0.192180278317672,70.9869384942576,0.061835312277228,79.8284933483228,0.069537015111779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,628,362,2155,71,51,3,111,275,888,100,131
35001000121,New Mexico,Bernalillo,1,5770,2752,0,128,0.0221837,0,1,0,0,0,1,22.8999999999999,46357,0,1,0,1,0,0,0,0,0,817.950584888458,0,0,192.793608002364,0,817.950584888458,0.141759200153979,192.793608002364,0.033413103639925,184.611855477094,0.031995122266394,149.671827293932,0.025939658109867,646.33977368474,0.112017291799782,22.5242194905877,0.003903677554695,82.5346433520317,0.014304097634668,0,0,10.3165651112794,0.001787966223792,56.2353788185864,0.009746166173065,273.281455561518,0.047362470634579,0,0,47.9493196047842,0.017423444623831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934,1063,1301,4636,211,215,4,170,534,1853,424,424
35001000122,New Mexico,Bernalillo,1,4088,1948,0,17,0.0041585,0,0,0,0,0,0,12.8,66332,0,1,0,1,0,0,0,0,0,1961.54812678112,0,0,600.601922189642,0,1961.54812678112,0.479830755083446,600.601922189642,0.146918278422124,339.764344990777,0.08311260885293,434.149918618932,0.106201056413633,1589.24184446851,0.388757789742788,39.4610397815704,0.009652896228369,96.4226769029628,0.023586760494854,2.00000004470348,0.000489236801542,52.6096423605631,0.012869286291723,181.812915948583,0.044474783744761,544.496550905634,0.133193872530733,13.9764296830699,0.007174758564204,28.7224061404594,0.014744561673747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364,687,915,3206,76,248,3,104,451,1159,176,66
35001000123,New Mexico,Bernalillo,1,5064,2048,0,8,0.0015798,0,0,0,0,0,0,19.6,49466,0,1,0,1,0,0,0,0,32.2225646972656,3690.824666447,32.2225646972656,16.6814498901367,1300.04138361639,16.6814498901367,3690.824666447,0.728835834606439,1300.04138361639,0.256722232151736,848.188927110051,0.16749386396328,556.242091412772,0.109842435113107,2835.32763240393,0.559898821564758,134.050566019315,0.026471280809502,81.9663591578719,0.016186089881096,2.27907668653642,0.000450054637942,138.790781157498,0.027407342250691,498.410252925939,0.098422245838456,1479.51417054166,0.29216314584156,71.325886909326,0.034827093217444,221.579324877355,0.108193029725271,32.2225646972656,0.006363065698512,16.6814498901367,0.003294125175777,9.35493755340576,0.001847341538982,1.68908596038818,0.000333547780487,21.178539276123,0.004182176002394,2.98838281631469,0.000590122989004,0.389789074659348,0.000076972566086,0,0,2.33873438835144,0.000461835384746,5.32711744308471,0.00105195842083,15.9813518524169,0.003155875168329,0,0,1.87036550045013,0.000913264404517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484,1132,823,3934,151,132,3,178,666,1939,103,279
35001000124,New Mexico,Bernalillo,1,3642,2029,0,188,0.05162,0,1,0,1,1,1,29.8,34097,0,1,0,1,0,0,0,1,0,1068.53894037008,0,0,563.171934187412,0,1068.53894037008,0.293393448756201,563.171934187412,0.154632601369416,142.282974213361,0.039067263650017,238.096224814653,0.065375130371953,761.300834774971,0.209033727285824,44.9779605362564,0.012349796962179,33.3699056897312,0.009162522155335,0.325833678245544,0.000089465589853,62.5988369770348,0.017188038708686,165.965558502823,0.045569895250638,395.568922132253,0.108613103276292,120.345417365431,0.059312674896714,82.1252115629613,0.040475708015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,546,575,2533,182,76,1,227,623,1428,302,280
35001000125,New Mexico,Bernalillo,1,4204,1786,0,0,0,0,0,0,0,0,0,2.1,96362,1,1,1,1,1,0,0,0,3939.26061961334,4203.99999472778,3939.26061961334,474.390368846012,526.333897498203,474.390368846012,4203.99999472778,0.999999998745905,526.333897498203,0.125198358110895,718.99999720446,0.17102759210382,742.000000997475,0.176498573025089,3514.00000491342,0.835870600597865,87.9999995462658,0.020932445182271,264.000002349319,0.062797336429429,1.99999996274709,0.000475737384098,66.0000001350308,0.015699333999769,270.000000189116,0.064224548094462,893.99999914132,0.212654614448459,16.6685673003639,0.009332904423496,0,0,3939.26061961334,0.937026788680624,474.390368846012,0.112842618659851,668.981351381458,0.159129722022231,698.160668893746,0.166070568243041,3305.73033585748,0.786329765903303,77.8619087271454,0.018520910734335,246.386648858489,0.058607670993932,1.99999996274709,0.000475737384098,63.0370083609486,0.014994531008789,244.244725237658,0.058098174414286,812.91387710534,0.193366764297179,15.8856106238063,0.008894518826319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,719,742,3514,88,264,2,66,270,894,16,0
35001000126,New Mexico,Bernalillo,1,2866,1333,0,0,0,0,0,0,0,0,0,16.3,65278,1,1,1,1,1,0,0,0,785.207999229431,2817.48699344752,785.207999229431,349.09643959999,854.465441267057,349.09643959999,2817.48699344752,0.983072921649521,854.465441267057,0.298138674552358,508.427029480117,0.17739952180046,488.471983240058,0.170436839930237,2283.02952196501,0.796590900894981,96.5398757923394,0.03368453447046,95.8285336053595,0.033436334126085,3.56763583421707,0.001244813619755,72.1836413136697,0.025186197248315,266.33778326916,0.092930140708011,838.95562060688,0.292727013470649,20.5405407170765,0.01540925785227,159.858356126431,0.119923748031831,785.207999229431,0.273973481936298,349.09643959999,0.121806154780178,136.849938392639,0.047749455126531,112.478729009628,0.039245892885425,645.964580059051,0.225388897438608,26.4265115261077,0.00922069488001,11.619462236762,0.004054243627621,0,0,29.0098633170127,0.010122073732384,72.1875674128532,0.025187567136376,254.991281867027,0.088971138125271,12.0341646149754,0.009027880431339,48.8938310742378,0.036679543191476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,520,494,2310,102,96,4,74,280,861,20,153
